seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
61,Mason,Neal,35,Uwku Ridge,Bektajga,MO,47816,$3933.75,BLUE,02/04/1933
62,Gordon,Henderson,55,Gozet Manor,Kezpavo,NJ,12355,$8051.26,GREEN,08/05/2063
63,Bessie,Cole,50,Ulni Road,Apagikso,RI,34431,$7671.02,RED,06/19/2063
64,Mina,Summers,27,Vavbu Road,Esujonaw,MD,82058,$2334.61,WHITE,04/21/2070
65,Virgie,Thompson,18,Wawad Ridge,Mokitoho,SC,23287,$1997.03,BLUE,06/12/2045
66,Angel,Tran,53,Reij Ridge,Katduol,KY,21589,$3526.58,GREEN,02/12/2035
67,Alfred,Scott,56,Viepu Street,Roplefa,WI,36192,$5810.27,WHITE,04/05/1941
68,Joel,Houston,49,Lerlok Parkway,Webluuve,IN,54508,$9299.57,RED,04/16/1942
69,Nancy,Gilbert,34,Kitec Road,Erbuze,NE,16018,$5520.69,GREEN,12/15/1975
70,Seth,Steele,52,Gital View,Niofaota,IN,19112,$2168.23,GREEN,08/16/1932
71,Elsie,Byrd,56,Himaz Park,Urbiwo,OH,17326,$5403.17,BLUE,09/24/1965
72,Rosie,Norris,32,Kazub Highway,Jeltezo,DE,75292,$1057.39,RED,06/27/1914
73,Louis,Drake,46,Tazu Place,Wudanafe,SC,04291,$836.00,BLUE,02/11/2044
74,May,Hernandez,45,Ogisav Way,Vimapi,GA,85432,$8987.11,WHITE,05/12/2004
75,Robert,Gonzalez,58,Tifso Junction,Falijlu,RI,64392,$8398.44,YELLOW,04/14/2008
76,Addie,Floyd,56,Pibjol Pass,Hadufi,MD,91050,$5565.91,WHITE,06/27/2069
77,Gary,Vargas,62,Enijak Terrace,Elajabli,NM,24362,$3678.39,YELLOW,11/22/1946
78,Georgie,Watts,59,Pedsum Avenue,Ovubuzmud,MO,44155,$7469.35,WHITE,05/31/1983
79,Olivia,Hall,23,Muga Way,Nisvodvu,AZ,36538,$1760.50,RED,10/06/2066
80,Nell,Cox,31,Ripa Pike,Tizinfar,NY,76412,$6352.14,YELLOW,09/28/1929
81,Marian,Rose,59,Obnet Lane,Inonuvdik,MO,01637,$8833.53,YELLOW,07/19/1917
82,Dustin,Gilbert,37,Haffo Grove,Gamhieri,TX,59824,$7508.86,BLUE,03/10/2046
83,Ralph,Bailey,56,Ohat Grove,Verloera,CO,11813,$2444.55,RED,06/14/1921
84,Rosa,Sanders,58,Feipi Ridge,Motrioru,FL,55239,$7210.39,GREEN,02/22/1950
85,Raymond,Cummings,19,Zedag Point,Gijiduz,AK,37970,$3633.08,RED,10/04/1919
86,Richard,Shaw,32,Irioni Heights,Oruhalo,TX,34321,$3975.16,RED,04/01/2019
87,Mario,Houston,22,Hafsof Heights,Covnolpuf,MT,85139,$612.54,WHITE,04/17/2052
88,Jane,Carter,55,Fuhlak Boulevard,Kigtemgu,IA,05100,$7624.18,BLUE,11/09/1951
89,Amanda,Todd,51,Vaes Heights,Wospulos,VA,69600,$954.83,RED,08/25/1980
90,Leah,Wilkins,44,Upuwa Junction,Tolacjas,HI,39576,$8350.06,YELLOW,12/29/2009
91,Lina,Hall,32,Zenpoj Mill,Saguku,RI,98924,$9505.51,WHITE,12/25/2049
92,Marion,Lee,45,Kotmof Heights,Hibmamta,MT,57162,$8602.26,GREEN,09/24/1981
93,Leonard,Zimmerman,42,Sibob Road,Piojsen,IA,33771,$5505.82,BLUE,10/26/2004
94,Bernice,Simpson,26,Kuuc Plaza,Dahijcam,IL,52070,$3619.27,GREEN,04/14/2022
95,Catherine,Garrett,53,Niwu Loop,Sunishab,NM,20584,$3413.04,BLUE,12/24/1918
96,Alta,Webb,38,Hirot Square,Nuseruj,GA,27212,$9517.95,WHITE,07/12/2001
97,Jeremy,Ballard,19,Bilfu Extension,Zoebeha,MS,46510,$1130.04,GREEN,01/15/1945
98,Gabriel,Burton,49,Lini Pike,Papmiguzo,MT,14298,$834.16,RED,05/29/2018
99,Ollie,Murray,31,Guit Grove,Memekov,MS,12906,$7434.61,RED,11/18/1933
100,Grace,Stevenson,18,Ujahen Way,Efrisun,MO,65715,$9874.34,WHITE,06/10/1937
